model,fold,MAPE,MedAPE,RMSE,R2
M0,0,36.2484,36.5538,6473.5635,0.6608
M0,1,42.2204,43.0217,7740.5372,0.6482
M0,2,40.4544,43.1500,9697.2032,0.5776
M0,3,40.3931,42.1560,6669.3513,0.6088
M0,4,42.3383,43.2916,5856.5608,0.7252
M1,0,93.0612,73.3166,6937.5103,0.6104
M1,1,103.6334,80.2372,8625.1403,0.5632
M1,2,93.0364,80.4693,11173.7908,0.4392
M1,3,108.4325,70.0831,6343.2162,0.6461
M1,4,99.3019,84.6323,6776.1587,0.6321
M2,0,10.1456,7.9991,1530.8911,0.9810
M2,1,10.4753,8.7975,1688.8896,0.9833
M2,2,11.1181,8.2515,8190.7719,0.6987
M2,3,11.3828,8.6072,1511.2677,0.9799
M2,4,11.0389,7.5407,2436.2096,0.9524
M3a,0,10.5216,8.9094,1772.7850,0.9746
M3a,1,13.4356,10.2676,2597.0044,0.9604
M3a,2,11.7145,7.6879,8142.8568,0.7022
M3a,3,13.7058,10.3968,1855.0329,0.9697
M3a,4,12.3551,9.9404,1614.0397,0.9791
M3b,0,13.0136,10.3667,2556.2803,0.9471
M3b,1,13.4720,10.1884,2466.4626,0.9643
M3b,2,12.6623,8.6041,8447.4357,0.6795
M3b,3,13.5029,10.7198,1853.6032,0.9698
M3b,4,13.1750,10.3471,2104.6572,0.9645
M4,0,10.6596,9.2115,1947.4589,0.9693
M4,1,10.8642,9.2792,1764.3111,0.9817
M4,2,11.5734,8.2594,8000.2583,0.7125
M4,3,10.7581,7.2863,1399.5675,0.9828
M4,4,11.4578,9.3654,2381.8460,0.9545
M5,0,35.6592,19.6974,5648.9054,0.7417
M5,1,35.5677,24.1865,5908.0899,0.7951
M5,2,38.6329,24.0836,10272.9480,0.5260
M5,3,33.9911,19.7122,4469.4739,0.8243
M5,4,40.3982,27.5372,4904.5608,0.8073
M6,0,47.7010,16.8842,4861.9041,0.8087
M6,1,40.1048,15.7591,3980.2310,0.9070
M6,2,31.6092,16.9952,8728.3089,0.6578
M6,3,34.4888,12.2609,2714.9915,0.9352
M6,4,43.1675,19.6746,2868.5292,0.9341
M6b,0,48.7954,20.8356,4846.0586,0.8099
M6b,1,45.7395,17.6701,4227.8269,0.8951
M6b,2,30.8318,14.6687,8953.9554,0.6399
M6b,3,35.8944,14.9901,2514.8255,0.9444
M6b,4,43.2471,17.3219,2573.4491,0.9469
M7,0,13.5701,10.0639,3283.9404,0.9127
M7,1,12.0823,8.8901,2561.1490,0.9615
M7,2,13.5983,9.0715,9296.1889,0.6118
M7,3,12.1824,10.1910,1879.0917,0.9689
M7,4,12.1619,8.6240,2371.0274,0.9550
M7b,0,51.4691,20.2760,5636.7311,0.7428
M7b,1,30.3903,20.6759,4447.6618,0.8839
M7b,2,38.0848,19.7047,9389.3142,0.6040
M7b,3,57.1856,19.3477,3154.4057,0.9125
M7b,4,49.5043,20.0644,3471.0914,0.9035
M7c,0,13.7942,10.0206,3150.2681,0.9197
M7c,1,12.9779,11.9596,2894.7882,0.9508
M7c,2,12.6650,9.4684,9417.2966,0.6017
M7c,3,12.7720,8.4350,1736.2608,0.9735
M7c,4,12.6593,8.9269,2622.2500,0.9449
M8,0,64.3227,28.7354,5166.4162,0.7839
M8,1,49.5018,31.5537,5094.0167,0.8477
M8,2,67.7015,23.0408,10223.1821,0.5306
M8,3,66.4880,23.0217,5471.3091,0.7367
M8,4,60.6608,31.1590,4603.1150,0.8302
M9,0,58.7144,23.0787,5533.8912,0.7521
M9,1,35.2191,19.3208,4483.8252,0.8820
M9,2,32.9897,20.8672,9147.4687,0.6242
M9,3,35.9580,17.8293,2947.6977,0.9236
M9,4,38.5882,20.3640,3228.8117,0.9165
