model,MAPE_mean,MedAPE_mean,RMSE_mean,R2_mean,MAPE_std,MedAPE_std,RMSE_std,R2_std
M2,10.7964,8.0370,3056.3537,0.9190,0.4544,0.5159,2619.2174,0.1131
M4,11.0189,8.5184,3152.3561,0.9138,0.4948,0.8300,2700.4584,0.1199
M3a,12.2677,9.3798,3213.6458,0.9151,1.2016,1.0274,2577.7916,0.1134
M7,12.5079,9.4980,3947.4748,0.8779,0.8065,0.7987,2820.7573,0.1429
M7c,12.6623,9.7819,3995.5800,0.8741,0.6683,0.7071,2900.7780,0.1507
M3b,13.1222,9.8774,3521.7597,0.9018,0.3436,0.8533,2588.5493,0.1202
M5,37.4689,23.4390,6404.5062,0.7246,1.9247,2.7290,2203.7403,0.1222
M6,38.0696,17.3178,4997.1973,0.8191,4.5291,1.7567,2663.5864,0.1460
M9,38.2249,19.1471,5168.7931,0.8105,6.1947,2.6591,2535.6622,0.1384
M6b,38.3630,16.7473,4849.9405,0.8281,4.9526,2.5433,2710.6590,0.1467
M0,40.3309,41.6346,7287.4432,0.6441,2.2039,2.5711,1349.3776,0.0501
M7b,47.1822,19.1568,5396.5103,0.7939,9.6623,1.7381,2524.8606,0.1426
M8,55.5585,26.4300,6243.6203,0.7356,4.4643,3.4682,2045.7711,0.1127
M1,92.9866,78.8371,7862.7999,0.5897,3.4983,5.7264,1814.9042,0.0795
