model,MAPE_mean,MAPE_std,MedAPE_mean,MedAPE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
M2,10.8321,0.5066,8.2392,0.4982,3071.6060,2886.6049,0.9191,0.1238
M4,11.0626,0.4218,8.6804,0.8987,3098.6884,2762.7954,0.9202,0.1166
M3a,12.3465,1.3003,9.4404,1.1404,3196.3438,2790.9013,0.9172,0.1204
M7,12.7190,0.7908,9.3681,0.7126,3878.2795,3070.4387,0.8820,0.1526
M7c,12.9737,0.4765,9.7621,1.3639,3964.1727,3094.6297,0.8781,0.1557
M3b,13.1652,0.3479,10.0452,0.8287,3485.6878,2788.0327,0.9050,0.1264
M5,36.8498,2.5983,23.0434,3.3495,6240.7956,2326.0688,0.7389,0.1229
M6,39.4143,6.4887,16.3148,2.6841,4630.7929,2451.6397,0.8486,0.1186
M9,40.2939,10.4896,20.2920,1.9436,5068.3389,2503.9306,0.8197,0.1293
M0,40.3309,2.4640,41.6346,2.8746,7287.4432,1508.6500,0.6441,0.0560
M6b,40.9016,7.3772,17.0973,2.4845,4623.2231,2627.1729,0.8472,0.1285
M7b,45.3268,10.8554,20.0137,0.5121,5219.8408,2523.8222,0.8093,0.1338
M8,61.7350,7.3432,27.5021,4.2216,6111.6078,2319.4533,0.7458,0.1278
M1,99.4931,6.7110,77.7477,5.9030,7971.1633,1989.4217,0.5782,0.0838
